Rank,Bib#,Leader,Follower,J1,J2,J3,J4,J5
1,273,Szymon Gajdowski,Yelyzaveta Chebotarova,3,2,6,1,10
2,276,Jakub Surawski,Eva Minarikova,4,4,3,3,2
3,145,Olimpiu Stefan,Hanna Ivanova,7,1,2,4,11
4,304,Leo Lorenzo,Mariia Stronska,1,11,5,7,5
5,116,Arden Messina,Charnise Taylor,8,3,8,5,4
6,123,Diego Esteban Tinoco,Kiara McKay,5,5,4,6,8
7,322,Anthony Bendeler,Patrycja Rozmarynowksa,2,6,1,8,7
8,207,Maurice Rogetzer,Yilin Yap,6,10,9,2,3
9,245,Gustavo Menezes,Nadzeya Papkovich,11,7,7,9,6
10,109,Przemysław Trzoska,Maria Rosa Dure,9,9,10,10,1
11,257,Avi Moraly,Marta Rafałowska,12,8,11,11,12
12,175,Farid Oudyi,Yuliia Vasylenko,10,12,12,12,9
